age,monthly_income,website_visits,time_spent_minutes,previous_purchases,is_student,country,device_type,purchased
25,2998.7274619823165,14,12.845878847492417,3,0,NL,Tablet,1
41,5131.811170022354,5,19.338188286132965,2,0,FR,Mobile,1
28,5499.18678264307,14,26.88568515541817,6,1,NL,Mobile,1
34,3876.7586712150246,8,16.038260996323647,2,1,NL,Desktop,0
25,2355.0437379675404,11,12.033704733960196,5,0,DE,Desktop,0
52,6690.923997080242,10,15.587078788874262,2,0,FR,Tablet,1
52,2680.303850638179,9,21.916231256257017,2,0,NL,Desktop,0
50,1810.8666122752788,9,14.628348029069317,5,0,FR,Desktop,1
22,1000.0,12,15.167496671360352,1,1,DE,Mobile,1
59,4149.17784536899,8,22.089541117777088,3,0,FR,Mobile,1
56,3673.8754217271453,7,15.565407284521044,2,0,DE,Mobile,1
58,5546.434973719509,15,23.601260315868842,3,0,DE,Desktop,0
45,4916.626845168321,9,8.013805124886701,5,1,DE,Mobile,1
24,4435.3018368775565,7,17.288884192968123,1,0,DE,Mobile,1
26,3592.9492068058757,11,24.87470712753918,0,0,DE,Desktop,1
25,5664.9659082965,11,27.297721359126886,5,0,NL,Mobile,1
29,6801.084852628799,12,12.9438516264186,4,1,TR,Mobile,1
51,5513.468798694856,10,13.673933168439591,6,0,TR,Tablet,1
50,3304.702553726185,15,24.71255139444197,4,0,TR,Desktop,1
40,5172.348330823263,13,13.277967033843474,3,0,NL,Tablet,1
41,3396.8654117991773,6,12.41962945773564,7,0,DE,Mobile,1
54,2342.3990262100383,11,12.519393712856603,0,0,TR,Tablet,1
52,2651.441406817082,12,10.586660827127774,1,0,TR,Mobile,1
61,3462.7323937933816,11,9.663937457345554,1,1,NL,Desktop,0
57,4155.939518445316,7,14.060222882092823,4,1,FR,Mobile,1
39,7090.871728863189,12,6.859916774007317,0,1,TR,Mobile,1
44,2677.4657865821987,7,11.989459095573086,3,0,DE,Mobile,1
52,5985.232734536992,8,22.877146023150406,1,0,TR,Desktop,1
18,3524.1106724611464,10,19.450559721621648,3,1,FR,Tablet,1
52,1000.0,12,12.203980434473857,3,1,FR,Tablet,1
54,3241.410995604493,7,16.316383855856554,1,1,TR,Desktop,0
64,5765.045489751536,6,14.546817074867056,3,1,DE,Desktop,1
31,4517.004278993853,7,11.250945658211213,3,0,NL,Tablet,0
20,4606.676797995935,11,3.4991005221800204,2,0,NL,Tablet,1
18,5992.75601326657,10,10.554039310991758,3,0,DE,Tablet,1
22,2445.4955665964085,12,13.49794838590173,4,0,DE,Mobile,1
43,2422.374354861625,7,27.51373813328926,1,1,FR,Mobile,1
31,1000.0,16,18.144401457534343,5,0,NL,Mobile,1
56,5315.623106864177,3,14.522237616599634,3,0,NL,Mobile,0
44,4843.7263504444045,9,17.550156052488123,8,1,FR,Desktop,1
26,5085.94977938667,13,16.27927356997859,1,0,NL,Desktop,1
32,2225.483163914829,10,11.531842364656097,3,0,NL,Mobile,1
32,1593.626566120221,7,14.728364780529086,4,0,DE,Mobile,1
43,2020.572537350001,11,13.255835232876873,3,0,FR,Mobile,1
59,2616.141591461944,17,7.441236965862883,7,0,DE,Tablet,1
30,6330.938363369281,13,12.214466309703564,4,0,NL,Desktop,1
49,5500.190085673753,3,14.531668631277217,3,1,DE,Desktop,1
56,3312.6690390695194,7,17.2512364293106,1,0,DE,Tablet,1
49,4448.8779898899775,8,15.185736114249323,4,1,NL,Desktop,1
21,2982.4566307783916,11,19.851668332781962,5,0,TR,Desktop,1
47,4546.419641172485,9,14.013191230139064,4,1,TR,Desktop,0
54,2292.8563933870028,15,21.507753316322663,3,0,TR,Tablet,1
40,5125.377168960897,12,16.02999966077148,4,0,DE,Tablet,1
56,2725.445053623411,5,17.364910432282844,1,0,TR,Desktop,0
62,5208.872542814735,9,16.460098127391987,4,1,NL,Tablet,1
32,3358.865637708487,14,12.639075739302829,3,0,TR,Tablet,1
60,2814.8860696025895,6,18.290932956960255,4,0,NL,Tablet,1
46,6419.495075874484,12,12.096224450897772,2,0,DE,Mobile,1
53,4265.4192773406485,6,10.266445840124767,1,0,DE,Desktop,1
30,3516.727943427164,16,16.382592571978268,0,0,NL,Mobile,1
49,5137.267462526896,13,14.69517812758618,2,0,TR,Mobile,0
24,1990.0133956376724,8,11.140012668598537,5,1,NL,Tablet,1
39,5660.295383890538,7,15.51552672813749,3,0,NL,Desktop,0
45,3790.832940387326,10,18.484772693045063,3,1,FR,Desktop,1
19,4901.181573502656,11,14.05633712167073,1,0,NL,Mobile,1
59,1678.1898084653708,6,23.009759276020464,1,0,FR,Tablet,1
62,3426.3610628005067,9,20.789412510921757,5,0,NL,Mobile,0
23,4006.870209018226,7,12.917164384347776,6,0,TR,Desktop,0
45,5545.448820427793,5,9.305910988092378,2,1,NL,Mobile,1
45,5020.616595906224,5,14.418395856282645,1,0,NL,Mobile,1
61,3411.284443573875,5,17.290901406019877,7,1,TR,Desktop,1
61,4476.9216359850725,9,6.584838467066138,2,0,TR,Mobile,1
37,5884.853652590473,6,6.500509209008854,3,0,NL,Tablet,1
47,3700.01727486616,9,8.802389349293732,3,0,FR,Mobile,1
28,3536.702559347039,15,20.7418118670086,1,0,FR,Mobile,1
45,1165.4430358706313,9,22.108344860620573,4,0,NL,Desktop,0
42,3581.3914969857847,15,9.732716628302912,2,0,TR,Mobile,1
56,1390.5594419732174,15,8.031560636946065,4,0,TR,Mobile,0
50,3828.4979814501894,8,16.160503768677945,2,1,FR,Mobile,1
18,5482.202714864121,5,15.694357181896862,3,1,NL,Desktop,0
44,1000.0,11,9.04675563271004,3,1,DE,Desktop,1
30,5851.313236931185,7,9.971745490789235,4,0,DE,Tablet,1
58,3504.6653100157023,9,11.713415678745902,2,0,DE,Tablet,1
20,3959.2526993100914,7,12.848139878480843,5,0,DE,Tablet,0
56,3246.3703297921875,6,16.526484811101305,3,0,TR,Desktop,1
23,1430.1446761770108,12,3.286247960546513,2,0,DE,Mobile,1
25,2825.5162385556396,11,24.53128143417655,4,0,NL,Desktop,0
44,7146.115102674227,11,16.867697551158493,2,1,FR,Desktop,1
26,2355.9317556198225,7,15.433643485891777,6,0,FR,Mobile,1
54,1617.1864574116744,4,11.840303370710354,0,1,TR,Tablet,1
50,4211.936541110655,10,10.784977467737596,4,1,TR,Mobile,1
59,3871.3352272415254,9,11.041318275811747,4,1,DE,Mobile,1
61,3515.005313806528,14,12.554354417424065,1,0,DE,Desktop,1
41,4021.6719150283843,6,17.04479194001832,3,0,NL,Mobile,1
32,4966.303916044235,4,20.69224732738643,1,0,FR,Tablet,1
49,3119.2546003220286,6,7.93217207881265,5,1,NL,Mobile,0
49,4291.615312423925,12,12.794857727437032,3,0,FR,Tablet,1
41,5535.811993195006,9,15.6971624197368,2,0,TR,Tablet,1
58,2507.0669998678077,7,16.051511516969235,2,1,TR,Mobile,1
29,1000.0,3,12.107042467351356,4,1,FR,Tablet,1
56,5006.212738143874,10,13.184147969916364,5,0,NL,Tablet,1
19,7754.44386340446,14,13.83185841832298,4,0,DE,Mobile,1
20,3988.968019526777,5,9.054214780492963,2,0,FR,Desktop,0
54,4302.898301598934,13,10.359116393057308,3,0,DE,Mobile,1
34,3556.287350359014,11,5.583294845135537,0,0,FR,Tablet,1
19,6382.091262265389,7,20.51133649554053,7,0,FR,Desktop,1
19,3883.3646005827,9,17.843428270477258,3,0,NL,Tablet,1
45,3720.153759977597,7,8.217148855048151,0,0,DE,Tablet,0
40,5366.295721403805,15,9.37727625364153,2,0,FR,Tablet,1
54,3273.5905567047676,7,8.202769048094744,6,1,DE,Mobile,1
49,2072.9594483862184,17,10.280193883780042,3,0,DE,Desktop,1
50,5323.450569318541,8,16.216979595984263,6,0,TR,Desktop,1
18,3112.6791884917816,10,29.36164863118858,2,0,NL,Tablet,1
36,2536.8099584859806,6,12.799068027616915,1,0,NL,Mobile,1
19,7150.07223785978,12,17.36736876118972,0,1,DE,Desktop,1
61,3732.104795165932,8,14.402054273168645,7,0,NL,Desktop,1
43,4741.339123446,6,16.217772960093125,2,0,NL,Tablet,1
49,4044.2923615116647,12,13.574293197553857,2,0,TR,Desktop,0
23,2670.520764444507,11,20.76958832418221,5,0,NL,Tablet,0
49,5034.150430032883,4,17.97737976613711,1,1,NL,Mobile,1
21,4471.868475680087,10,14.972414725756014,2,0,FR,Desktop,1
28,3010.9302525401013,8,18.229483971115087,3,1,FR,Tablet,0
34,4649.785506784508,15,19.749354713099144,2,1,FR,Tablet,0
55,3228.534858804997,11,11.403390595274878,5,0,FR,Desktop,0
41,2343.2569598372047,13,17.349569902514435,2,1,NL,Mobile,1
22,2191.499118471815,7,19.34668313530352,4,0,DE,Tablet,0
51,4405.087931444468,4,17.328853672583012,7,0,FR,Mobile,1
23,3425.9036051073335,8,18.52877678784932,6,0,FR,Tablet,1
39,6252.556028565942,11,15.423962344917578,1,0,DE,Mobile,0
28,3935.562829993065,11,17.744036493070897,1,0,DE,Desktop,1
33,2822.195059819627,14,22.628182435615003,0,0,DE,Desktop,1
50,4236.726457965868,8,9.9492123610281,4,0,TR,Tablet,1
26,2058.5990176380906,7,14.985595109849703,2,0,DE,Mobile,1
23,3873.8031392129465,8,11.143106100994146,4,0,NL,Tablet,0
33,4478.750164717413,8,11.990402721582287,5,0,NL,Tablet,1
46,4293.508461452958,7,17.485605965334976,4,0,TR,Desktop,1
20,5954.199895779638,8,6.5800327160815435,1,0,FR,Tablet,0
37,7896.2756887666765,17,9.398834279987735,5,0,DE,Tablet,1
53,5007.096057011928,11,21.0503027750788,2,1,FR,Desktop,0
36,5768.1944916782795,11,8.371108567112184,1,1,NL,Mobile,1
43,7815.19398948586,11,22.209317339410916,2,0,TR,Mobile,1
20,2490.6612282752862,11,14.93928474163944,1,0,TR,Tablet,1
36,4195.941113162513,14,14.64452022833563,2,0,FR,Tablet,0
37,3283.005201870012,11,11.589868175955473,3,0,FR,Tablet,1
49,5263.986565391609,21,13.371847156801529,3,0,DE,Desktop,0
24,4407.428379214931,9,16.138101446140826,3,1,TR,Tablet,0
58,2772.351520144099,10,13.897245549344964,4,0,NL,Tablet,1
50,4016.421724520567,15,10.587030773464836,3,1,TR,Desktop,1
57,5570.384109483828,15,18.089961145296506,4,1,NL,Mobile,1
56,2044.4130534624005,11,21.199978451605965,3,0,FR,Tablet,0
35,2803.9831665415313,7,6.970159813007591,2,1,FR,Tablet,1
57,2579.087372437287,14,25.955608025885528,2,1,DE,Mobile,0
18,4489.594833230365,11,16.451273444481618,3,0,NL,Mobile,1
28,5860.77411942244,11,17.421576201246385,3,0,DE,Mobile,1
45,1000.0,14,22.523588077698335,3,1,FR,Tablet,1
42,4141.597845217875,12,4.429229738237613,8,0,FR,Tablet,1
40,2613.668924087224,8,7.0671261619214985,3,1,DE,Tablet,1
48,5508.104162244977,9,4.868191072081993,5,0,TR,Mobile,1
47,3644.5475866431193,10,8.825376792622357,4,0,DE,Desktop,1
59,4196.0109086160965,10,17.92066902276968,2,0,NL,Desktop,1
52,3997.99450719691,11,8.863423112066332,5,1,FR,Tablet,1
24,5686.328204784768,11,10.364629837327815,4,0,NL,Mobile,1
33,7072.947296196673,10,11.237819443771446,3,0,TR,Mobile,1
43,2298.0020051778383,9,14.237603414002555,3,0,FR,Mobile,1
19,2571.165823008022,9,13.989477319896404,5,0,FR,Desktop,1
18,4482.246853832061,8,10.909554137491629,2,1,DE,Tablet,1
29,2775.3964775471222,12,9.718212731812155,1,0,DE,Tablet,1
22,5400.375655600411,7,13.432444015330814,0,0,NL,Mobile,0
54,5641.176188626506,15,15.003063280284243,5,0,DE,Tablet,1
49,3180.135531630313,10,21.981104715858763,6,0,FR,Mobile,0
26,2854.6941000377874,11,9.986997519032865,1,0,DE,Desktop,1
58,3587.8314675209213,12,14.293042917541541,3,0,FR,Tablet,1
52,4156.027320944528,14,4.76179399946407,2,0,DE,Tablet,1
36,4472.255784842788,11,20.44890155673413,4,0,DE,Tablet,1
33,1000.0,8,14.248773966089786,5,0,FR,Desktop,1
20,2548.816721724822,9,18.88791082422601,2,1,NL,Mobile,1
37,3393.8509766941243,8,21.01247910931912,3,1,NL,Tablet,1
41,2804.5160023796698,11,17.2097311457465,5,0,FR,Desktop,1
50,1000.0,6,15.580227183937753,3,0,NL,Tablet,1
41,1167.4413019679596,15,5.37922134418587,5,0,NL,Mobile,1
28,2041.9622116234495,15,14.107087380836068,4,1,TR,Desktop,1
25,3827.0736987201717,11,9.965574329389618,2,0,FR,Desktop,1
53,3345.6967097780357,13,9.406077130605674,1,1,DE,Tablet,1
55,3052.646376207138,9,5.32673767653462,1,0,DE,Desktop,1
57,5194.7724411892605,9,13.853446748695715,3,0,TR,Tablet,1
37,5194.200497385643,9,10.569605500654106,2,0,FR,Mobile,1
52,4224.877980222811,9,11.00712893295019,3,0,DE,Mobile,1
42,4180.1804240779875,8,9.830796601200216,2,1,NL,Desktop,1
52,2715.0091735998826,6,21.545330804238816,2,0,DE,Desktop,0
42,2894.5115040152077,15,9.52352643922764,3,0,FR,Mobile,1
46,1438.525925312173,7,12.872565739729,3,0,DE,Mobile,1
35,3623.8728523325035,14,13.958857807430709,3,1,TR,Mobile,1
63,5178.611934566795,10,13.7557844267493,3,0,TR,Tablet,1
35,6031.49484516184,11,23.643070682086808,7,1,NL,Tablet,1
19,3632.830213141805,11,4.81658670187138,4,1,TR,Desktop,1
52,4737.503248014536,10,16.123685507922037,8,0,DE,Mobile,1
33,1000.0,7,19.36295183992162,4,1,DE,Desktop,1
58,3350.607519402364,12,16.262109619127283,4,0,NL,Tablet,1
53,3315.4564298001046,9,25.719698867252998,6,1,NL,Mobile,1
50,6236.752471338074,14,21.584772237157758,2,0,NL,Mobile,0
21,4589.400191382127,11,11.461044675110172,3,0,FR,Desktop,1
50,4741.383134320911,10,13.92791178185361,1,0,FR,Tablet,0
31,4663.492466498489,9,18.811707822112602,4,0,FR,Tablet,1
38,4068.164098498332,12,14.358563478029689,5,0,TR,Mobile,0
37,6298.5479962736945,11,14.452980244821726,7,0,DE,Desktop,1
25,1000.0,7,25.07965522483928,4,0,TR,Mobile,0
24,4219.315613073127,15,19.99679427600292,3,1,DE,Mobile,1
20,5694.704277459346,8,25.318787878149323,5,0,TR,Tablet,1
34,1162.9098202110272,15,14.521969997326478,3,0,NL,Tablet,1
50,5256.876780658453,9,15.71388551037986,1,0,FR,Mobile,1
29,2858.255138102025,13,16.668553796943915,2,0,DE,Tablet,0
39,4164.723893263062,10,18.44108352558318,2,0,DE,Tablet,1
39,2829.4609285818597,6,13.409021493968746,4,0,DE,Desktop,1
63,5438.727514823533,8,10.376509701135728,2,0,TR,Desktop,1
47,3567.4571781646505,11,10.926169609751867,2,0,TR,Desktop,1
55,5268.695284535817,10,14.377778881989606,3,0,DE,Desktop,1
55,4652.994754396512,10,6.7995993426937105,1,0,NL,Desktop,1
62,2809.3112739117423,10,16.847001787463853,6,0,NL,Mobile,0
25,4752.788785593288,8,3.597630718318296,5,1,NL,Tablet,1
44,3004.6464129809015,9,7.202722469496006,1,0,FR,Mobile,1
44,4096.19214075996,12,21.034793077598593,3,0,DE,Desktop,1
51,3540.1084577653,10,15.377805847271352,5,0,NL,Mobile,1
38,5349.86779958316,8,17.09232708308621,4,0,DE,Mobile,1
47,4810.4834061061265,9,16.57491166100482,1,1,NL,Mobile,0
50,3953.9176770928866,16,24.662166915675485,4,0,DE,Desktop,1
45,2971.4323342665084,12,21.036287333549847,6,1,FR,Desktop,1
64,2096.5127652539227,11,23.43820382609471,3,0,DE,Desktop,1
50,4203.484628936047,6,12.299641436430615,4,1,NL,Tablet,1
22,3051.5636602723616,16,14.393549539747179,2,0,DE,Tablet,1
36,1183.005763639262,7,7.788365776683337,3,1,TR,Mobile,1
21,2004.9571885056243,14,19.71440056316409,2,1,NL,Tablet,0
52,6438.812958312576,11,18.633589734275194,4,0,DE,Tablet,1
34,3010.035422515832,7,11.424422893455448,2,0,NL,Desktop,1
61,5623.244166265602,16,12.169975317409548,3,0,DE,Mobile,1
45,3465.025409202579,6,17.207722722402224,5,1,FR,Tablet,1
47,5859.36645274122,16,13.88884449908491,3,0,FR,Tablet,1
46,5750.746026211567,8,11.516551627630122,1,0,NL,Tablet,1
63,2761.4568596490135,8,13.033357492384113,3,0,NL,Tablet,0
23,1018.0364997885927,8,12.971284600323171,6,0,NL,Mobile,1
52,1145.0192844545195,8,16.991912982222757,1,0,DE,Mobile,0
58,2787.00774406644,11,13.865162040546313,3,1,FR,Tablet,1
54,6834.451638336312,4,1.0,3,1,FR,Desktop,1
41,3384.156887616191,8,14.545912009227795,4,0,NL,Desktop,1
46,4217.865925110182,9,11.490407606314346,2,0,NL,Mobile,0
63,5955.005299305085,6,18.3429513188317,2,0,FR,Tablet,1
48,4165.482044667532,14,15.807526591342699,3,0,DE,Desktop,1
52,4113.836557781162,11,11.513334191635126,2,0,DE,Tablet,1
50,4933.99479091772,9,11.710560179958176,6,0,NL,Desktop,1
38,4433.454633264981,13,15.85891385496357,2,0,DE,Desktop,0
49,3850.7993424947726,7,14.80363187179531,1,0,TR,Mobile,1
40,2917.8259852038364,10,13.337679607352301,1,0,TR,Desktop,1
50,4117.733336298184,13,14.403140329287098,3,0,FR,Desktop,1
20,5641.599695624711,10,17.059054763184,3,0,TR,Tablet,1
35,6673.006880498082,9,6.722148664808008,2,0,FR,Desktop,1
42,4438.414962353365,8,22.079901333853694,3,0,TR,Tablet,0
59,5132.74170264396,7,12.74205058221592,0,0,TR,Mobile,0
48,4404.5960607442175,9,20.746857896133104,2,1,TR,Tablet,1
20,3869.005953394596,6,25.36837416117364,3,0,TR,Tablet,1
57,4771.385617919027,10,17.807113203535874,3,0,TR,Desktop,1
63,5783.9992514687265,9,5.416317169871496,3,0,FR,Mobile,1
41,2670.4572459712817,13,9.179487373405602,4,0,TR,Tablet,0
49,1822.9049465306366,9,17.09727937643224,1,0,TR,Mobile,0
64,3200.487625545301,14,11.647992580434687,6,0,DE,Mobile,1
39,4317.492914949556,14,22.38445063832979,2,0,NL,Tablet,1
40,5304.8074264318475,11,11.292067609321556,2,0,FR,Desktop,1
19,2515.738262716768,9,17.787376499244903,2,0,FR,Mobile,1
44,1000.0,10,14.451757961306361,4,1,TR,Mobile,1
59,3235.8270149934756,8,15.181374406894108,3,0,FR,Tablet,1
19,3709.128661512646,10,18.188593779910708,4,0,FR,Mobile,0
43,2256.589774882843,7,1.0,2,0,DE,Tablet,1
34,2865.863606774032,13,14.833276619359273,6,1,FR,Tablet,1
57,5300.925115130496,8,19.510160369000744,3,0,FR,Tablet,1
50,4117.180104394149,14,9.123062359215357,2,1,NL,Tablet,0
26,4518.433177913977,15,18.267483745929646,2,0,TR,Tablet,1
60,3466.4766525841787,13,13.853396469516104,2,0,FR,Tablet,0
56,2868.834383562511,8,11.728431745784917,7,0,NL,Tablet,1
46,3455.6526558637843,11,13.761322194016296,2,0,TR,Tablet,1
59,4748.320291269538,10,21.959159313187428,3,0,FR,Tablet,1
43,1763.0196829881747,15,15.852497901184963,1,1,DE,Desktop,1
52,6475.255389748017,12,8.72697379286452,0,1,DE,Desktop,1
42,4862.287743523604,11,16.464063158906903,1,0,TR,Tablet,1
41,3196.1798435639275,16,15.234670419697686,0,1,NL,Desktop,1
30,5220.11067682975,11,20.65409417140765,4,0,TR,Tablet,0
24,5833.523600609662,8,14.642254324033217,2,0,FR,Desktop,1
53,3504.4929255963425,8,20.3031927449907,3,1,NL,Desktop,0
62,3675.122815352408,9,15.344070542478216,4,0,DE,Mobile,0
37,6240.211320209507,9,16.98574475356275,5,0,TR,Tablet,1
18,7178.462720377147,5,11.319613263504667,5,0,FR,Tablet,1
25,4044.1534863521615,14,17.842264799555643,3,0,DE,Tablet,0
63,2262.6784793665383,6,25.106210046742667,1,0,NL,Tablet,1
33,3294.0967676131622,9,23.608802549386247,3,0,DE,Tablet,1
31,5549.523616703802,5,9.445207699832036,2,0,TR,Mobile,1
29,2454.6770559793085,20,6.462236824575653,3,0,FR,Mobile,0
40,3687.5752003614716,9,16.88093342467537,1,1,NL,Mobile,1
32,4438.877322147445,14,13.782250808444308,3,1,DE,Desktop,0
45,2615.9279703884986,10,10.752328414766076,4,1,DE,Desktop,0
51,5644.651842814115,14,25.572383795891007,0,1,DE,Mobile,0
19,5040.951272806562,14,30.440235801436803,2,0,DE,Desktop,1
49,7014.318864287938,11,5.917612397434706,0,1,TR,Tablet,1
40,5172.191343786658,14,11.085087145371796,2,0,TR,Desktop,1
39,2558.6655466509424,10,8.538827526739867,2,0,DE,Tablet,1
42,4795.553591363787,6,10.87459274773149,4,0,TR,Tablet,1
39,5482.032510273784,9,20.61371045371735,1,0,TR,Desktop,1
39,5559.218221188019,6,16.282074781315572,5,1,FR,Desktop,1
59,2834.736778163896,9,19.1609421914549,2,0,DE,Desktop,1
23,2655.493446466787,11,21.595114676715767,4,0,DE,Mobile,1
